cname,cpu_stats__cpu_usage__total_usage,cpu_stats__online_cpus,memory_stats__stats__active_anon,memory_stats__stats__pgpgin,networks__eth0__rx_bytes,precpu_stats__system_cpu_usage,timestamp
mn.mp.output.vdu01,73672425,4,958464,3433,758,4419560570000000,0
mn.mp.output.vdu01,73672425,4,958464,3433,828,4419592640000000,7.07014298439026
mn.mp.output.vdu01,73672425,4,958464,3433,828,4419624700000000,15.0979144573212
mn.mp.output.vdu01,73672425,4,958464,3433,828,4419656680000000,23.128901720047
mn.mp.output.vdu01,539281655,4,958464,62260,828,4419688610000000,31.1450254917145
mn.mp.output.vdu01,62108632,4,966656,1298,828,4419784280000000,7.61816930770874
mn.mp.output.vdu01,62108632,4,966656,1298,828,4419816340000000,15.6448907852173
mn.mp.output.vdu01,62108632,4,966656,1298,828,4419848420000000,23.6656014919281
mn.mp.output.vdu01,523421596,4,966656,60096,828,4419880350000000,31.6925418376923
